학교명,학급유형,학급 수,"2027학년도
입학 가능 인원","2028학년도
입학 가능 인원","2029학년도
입학 가능 인원",,"2026학년도
졸업 예정 인원","2026~2027
졸업 예정 인원","2026~2028
졸업 예정 인원",,"2027학년도
입학 예정 인원","2027
졸업 예정 인원","2027~2028
졸업 예정 인원"
갈매유,특수학급,1,2,3,4,,0,1,2,,,1,2
갈매초병설유,특수학급,1,3,3,4,,1,1,2,,,0,1
교문초병설유,특수학급,1,3,3,4,,1,1,2,,,0,1
구지초병설유,특수학급,1,2,3,4,,2,3,4,,,1,2
구지초병설유,순회학급,1,3,3,4,,0,0,1,,,0,1
산마루초병설유,특수학급,1,3,4,4,,3,4,4,,,1,1
인창유,특수학급,1,3,3,4,,0,0,1,,,0,1
남양주다산유,특수학급,1,1,3,4,,1,3,4,,,2,3
"남양주다산초
병설유",특수학급,1,3,4,4,,1,2,2,,,1,1
"남양주덕송초
병설유",특수학급,1,2,4,4,,1,3,3,,,2,2
"남양주도곡초
병설유",특수학급,1,3,4,4,,0,1,1,,,1,1
남양주도담유,특수학급,1,3,4,4,,3,4,4,,,1,1
남양주별빛유,특수학급,1,2,2,4,,2,2,4,,,0,2
"남양주송라초
병설유",특수학급,1,2,2,4,,1,1,3,,,0,2
"남양주신촌초
병설유",특수학급,1,3,3,4,,1,1,2,,,0,1
"남양주월산초
병설유",특수학급,1,3,4,4,,1,2,2,,,1,1
다산가람초병설유,특수학급,1,3,4,4,,0,1,1,,,1,1
다산꽃다비유,특수학급,1,2,3,4,,2,3,4,,,1,2
다산별빛초병유,특수학급,1,2,3,4,,0,1,2,,,1,2
다산새봄유,특수학급,1,2,4,4,,1,3,3,,,2,2
다산새봄초병설유,특수학급,1,4,4,4,,3,3,3,,,0,0
다산하늘빛유,특수학급,1,4,4,4,,4,4,4,,,0,0
"다산하늘초
병설유",특수학급,1,2,2,4,,1,1,3,,,0,2
다산한강유,특수학급,2,5,7,8,,3,5,6,,,2,3
다산한강초병설유,특수학급,1,3,4,4,,0,1,1,,,1,1
별가람유,특수학급,1,1,4,4,,1,4,4,,,3,3
별가람초병설유,특수학급,1,1,3,4,,0,2,3,,,2,3
부평초병설유,특수학급,1,4,4,4,,2,2,2,,,0,0
예봉초병설유,특수학급,1,3,4,4,,1,2,2,,,1,1
오남초병설유,특수학급,1,4,4,4,,1,1,1,,,0,0
창현유,특수학급,1,4,4,4,,3,3,3,,,0,0
평내초병설유,특수학급,1,3,4,4,,0,1,1,,,1,1
평내초병설유,순회학급,1,4,4,4,,1,1,1,,,0,0
하랑초병유,특수학급,1,3,4,4,,0,1,1,,,1,1
해밀초병설유,특수학급,1,4,4,4,,2,2,2,,,0,0
호평유,특수학급,1,3,3,4,,1,1,2,,,0,1
화도은솔유,특수학급,5,12,18,20,,7,13,15,,,6,8
갈매초,특수학급,3,4,6,7,,5,7,8,,,2,3
건원초,특수학급,2,1,3,4,,1,3,4,,,2,3
교문초,특수학급,2,0,2,4,,2,4,6,,,2,4
구리초,특수학급,2,6,9,11,,2,5,7,,,3,5
구지초,특수학급,1,5,5,6,,0,0,1,,,0,1
내양초,특수학급,1,0,2,3,,0,2,3,,,2,3
도림초,특수학급,2,5,9,10,,1,5,6,,,4,5
동구초,특수학급,1,3,3,3,,0,0,0,,,0,0
동인초,특수학급,2,5,9,9,,2,6,6,,,4,4
백문초,특수학급,2,6,7,8,,2,3,4,,,1,2
부양초,특수학급,3,3,5,8,,0,2,5,,,2,5
산마루초,특수학급,3,3,6,8,,4,7,9,,,3,5
수택초,특수학급,1,2,3,3,,2,3,3,,,1,1
인창초,특수학급,2,1,2,4,,2,3,5,,,1,3
토평초,특수학급,2,1,4,7,,0,3,6,,,3,6
토평초,순회학급,1,0,2,2,,0,2,2,,,2,2
가곡초,특수학급,2,1,3,6,,1,3,6,,,2,5
가운초,특수학급,1,0,0,1,,0,0,1,,,0,1
광릉초,특수학급,2,7,7,10,,2,2,5,,,0,3
구룡초,특수학급,2,5,5,5,,2,2,2,,,0,0
금교초,특수학급,1,2,3,5,,0,1,3,,,1,3
금남초,특수학급,1,2,4,4,,0,2,2,,,2,2
남양주금곡초 ,특수학급,1,2,3,3,,2,3,3,,,1,1
남양주다산초,특수학급,2,0,3,5,,2,5,7,,,3,5
남양주덕송초,특수학급,2,5,8,9,,5,8,9,,,3,4
남양주도곡초,특수학급,2,6,7,8,,1,2,3,,,1,2
남양주동곡초,특수학급,1,1,2,2,,0,1,1,,,1,1
남양주동곡초,순회학급,1,1,1,1,,1,1,1,,,0,0
남양주미금초,특수학급,1,2,3,3,,0,1,1,,,1,1
남양주백봉초,특수학급,1,3,4,4,,0,1,1,,,1,1
남양주샛별초,특수학급,2,1,3,9,,1,3,9,,,2,8
남양주송라초,특수학급,2,1,2,5,,3,4,7,,,1,4
남양주신촌초,특수학급,1,0,2,2,,0,2,2,,,2,2
남양주양정초,특수학급,1,1,1,2,,1,1,2,,,0,1
남양주양지초,특수학급,1,1,2,2,,1,2,2,,,1,1
남양주월산초,특수학급,2,4,5,8,,1,2,5,,,1,4
다산가람초,특수학급,2,3,5,7,,3,5,7,,,2,4
다산별빛초,특수학급,3,2,4,7,,2,4,7,,,2,5
다산새봄초,특수학급,3,-1,3,7,,1,5,9,,,4,8
다산하늘초,특수학급,3,5,6,7,,3,4,5,,,1,2
다산한강초,특수학급,3,0,6,7,,2,8,9,,,6,7
덕소초,특수학급,2,6,7,8,,3,4,5,,,1,2
도농초,특수학급,1,4,4,5,,1,1,2,,,0,1
도심초,특수학급,1,3,3,5,,1,1,3,,,0,2
도제원초,특수학급,1,2,3,3,,2,3,3,,,1,1
마석초,특수학급,1,-1,0,1,,0,1,2,,,1,2
마석초,순회학급,1,3,4,4,,2,3,3,,,1,1
별가람초,특수학급,2,0,3,6,,2,5,8,,,3,6
별내초,특수학급,2,6,7,8,,3,4,5,,,1,2
부평초,특수학급,2,5,5,6,,3,3,4,,,0,1
"사능초(시간)
(시간제)",특수학급,1,3,4,6,,0,1,3,,,1,3
"사능초(복합)
(전일제_복합)",복합특수학급,2,0,0,1,,0,0,1,,,0,1
수동초,특수학급,1,4,4,5,,0,0,1,,,0,1
"수동초
송천분교",특수학급,1,4,5,6,,0,1,2,,,1,2
양오초,특수학급,2,3,6,7,,1,4,5,,,3,4
어람초,특수학급,2,4,4,8,,2,2,6,,,0,4
예봉초,특수학급,1,3,4,4,,0,1,1,,,1,1
오남초,특수학급,2,0,3,8,,0,3,8,,,3,8
용신초,특수학급,1,2,4,4,,2,4,4,,,2,2
은솔초,특수학급,2,4,5,5,,3,4,4,,,1,1
장내초    ,특수학급,1,2,2,4,,3,3,5,,,0,2
장승초,특수학급,2,0,4,7,,2,6,9,,,4,7
장현초,특수학급,3,4,7,11,,3,6,10,,,3,7
주곡초,특수학급,2,3,6,6,,0,3,3,,,3,3
진건초,특수학급,2,4,8,9,,2,6,7,,,4,5
진접초,특수학급,3,7,8,12,,4,5,9,,,1,5
차산초,특수학급,1,3,4,4,,0,1,1,,,1,1
창현초,특수학급,1,1,1,1,,2,2,2,,,0,0
천마초,특수학급,3,0,8,11,,2,10,13,,,8,11
퇴계원초,특수학급,2,3,5,6,,2,4,5,,,2,3
퇴계원초,순회학급,1,1,1,3,,1,1,3,,,0,2
판곡초,특수학급,2,2,4,7,,4,6,9,,,2,5
평내초,특수학급,2,4,5,5,,1,2,2,,,1,1
평동초,특수학급,2,5,6,7,,1,2,3,,,1,2
평동초,순회학급,1,1,1,3,,1,1,3,,,0,2
풍양초,특수학급,1,3,3,3,,0,0,0,,,0,0
하랑초,특수학급,2,4,5,9,,2,3,7,,,1,5
한별초,특수학급,3,2,5,9,,4,7,11,,,3,7
호평초,특수학급,1,3,3,4,,1,1,2,,,0,1
